trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,u,v,key,travel_time_s,time_source,projection_method,projection_quality
LIMA_P0_L4_LIM-0129_LIM-0128_0,LIMA_P0_L4_LIM-0129_LIM-0128_0,L4,1.0,,,LIM-0129,LIM-0128,0,114.46304884066178,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0129_LIM-0130_0,LIMA_P0_L4_LIM-0129_LIM-0130_0,L4,0.0,,,LIM-0129,LIM-0130,0,116.15793389673577,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0130_LIM-0129_0,LIMA_P0_L4_LIM-0130_LIM-0129_0,L4,1.0,,,LIM-0130,LIM-0129,0,116.15793389673577,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0130_LIM-0131_0,LIMA_P0_L4_LIM-0130_LIM-0131_0,L4,0.0,,,LIM-0130,LIM-0131,0,128.8251519449986,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0131_LIM-0130_0,LIMA_P0_L4_LIM-0131_LIM-0130_0,L4,1.0,,,LIM-0131,LIM-0130,0,128.8251519449986,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0131_LIM-0132_0,LIMA_P0_L4_LIM-0131_LIM-0132_0,L4,0.0,,,LIM-0131,LIM-0132,0,120.83506479578617,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0132_LIM-0131_0,LIMA_P0_L4_LIM-0132_LIM-0131_0,L4,1.0,,,LIM-0132,LIM-0131,0,120.83506479578617,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0132_LIM-0133_0,LIMA_P0_L4_LIM-0132_LIM-0133_0,L4,0.0,,,LIM-0132,LIM-0133,0,156.36906835409025,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0133_LIM-0132_0,LIMA_P0_L4_LIM-0133_LIM-0132_0,L4,1.0,,,LIM-0133,LIM-0132,0,156.36906835409025,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0133_LIM-0134_0,LIMA_P0_L4_LIM-0133_LIM-0134_0,L4,0.0,,,LIM-0133,LIM-0134,0,91.88061825878142,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0134_LIM-0133_0,LIMA_P0_L4_LIM-0134_LIM-0133_0,L4,1.0,,,LIM-0134,LIM-0133,0,91.88061825878142,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_L4_LIM-0134_LIM-0135_0,LIMA_P0_L4_LIM-0134_LIM-0135_0,L4,0.0,,,LIM-0134,LIM-0135,0,174.9634475233711,projected_lima_scenario,knn_inverse_distance_rate,mode_fallback
LIMA_P0_TRANSFER_LIM-0134_LIM-0057_0,LIMA_P0_TRANSFER_LIM-0134_LIM-0057_0,TRANSFER,,,,LIM-0134,LIM-0057,0,98.20998940591372,projected_lima_scenario,transfer_walk_rule,rule_based_transfer
