u,v,key,line,length_m,spatial,transfer,edge_type,structure,geometry_wkt,source_line,target_line,transfer_distance_m,transfer_basis,travel_time_s,time_source,projection_method,projection_distance,projection_quality,reference_count,temporal_rate_s_per_m,observed
LIM-0105,LIM-0104,0,L3,654.8877304648105,True,False,in_line,At Grade,"LINESTRING (-77.02383 -12.12539, -77.01788 -12.12631)",,,,,83.51298282089411,projected_lima_scenario,knn_inverse_distance_rate,0.5054805693842729,mode_fallback,12,0.12752259499749716,False
LIM-0105,LIM-0106,0,L3,778.0190908933492,True,False,in_line,At Grade,"LINESTRING (-77.02383 -12.12539, -77.02915 -12.12071)",,,,,93.5588190739594,projected_lima_scenario,knn_inverse_distance_rate,0.5104099775664938,mode_fallback,12,0.12025260069972298,False
LIM-0105,LIM-0035,0,TRANSFER,80.2961676321965,False,True,transfer,Transfer,"LINESTRING (-77.02383 -12.12539, -77.02427 -12.12481)",L3,BRT,80.2961676321965,proximity,111.91347302683042,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.3937585855835575,False
LIM-0106,LIM-0105,0,L3,778.0190908933492,True,False,in_line,At Grade,"LINESTRING (-77.02915 -12.12071, -77.02383 -12.12539)",,,,,93.5588190739594,projected_lima_scenario,knn_inverse_distance_rate,0.5104099775664938,mode_fallback,12,0.12025260069972298,False
LIM-0106,LIM-0107,0,L3,1017.8120125464068,True,False,in_line,At Grade,"LINESTRING (-77.02915 -12.12071, -77.03025 -12.11162)",,,,,122.27381062628916,projected_lima_scenario,knn_inverse_distance_rate,0.506105738385841,mode_fallback,12,0.1201339826206012,False
LIM-0107,LIM-0106,0,L3,1017.8120125464068,True,False,in_line,At Grade,"LINESTRING (-77.03025 -12.11162, -77.02915 -12.12071)",,,,,122.27381062628916,projected_lima_scenario,knn_inverse_distance_rate,0.506105738385841,mode_fallback,12,0.1201339826206012,False
LIM-0107,LIM-0108,0,L3,902.6838123266156,True,False,in_line,At Grade,"LINESTRING (-77.03025 -12.11162, -77.0316 -12.10361)",,,,,99.81566939027255,projected_lima_scenario,knn_inverse_distance_rate,0.5081688933733385,mode_fallback,12,0.11057655851056351,False
LIM-0108,LIM-0107,0,L3,902.6838123266156,True,False,in_line,At Grade,"LINESTRING (-77.0316 -12.10361, -77.03025 -12.11162)",,,,,99.81566939027255,projected_lima_scenario,knn_inverse_distance_rate,0.5081688933733385,mode_fallback,12,0.11057655851056351,False
LIM-0108,LIM-0109,0,L3,1270.9902938141597,True,False,in_line,At Grade,"LINESTRING (-77.0316 -12.10361, -77.03336 -12.09231)",,,,,129.34029715124348,projected_lima_scenario,knn_inverse_distance_rate,0.5184314159958813,mode_fallback,12,0.10176340274251947,False
LIM-0109,LIM-0108,0,L3,1270.9902938141597,True,False,in_line,At Grade,"LINESTRING (-77.03336 -12.09231, -77.0316 -12.10361)",,,,,129.34029715124348,projected_lima_scenario,knn_inverse_distance_rate,0.5184314159958813,mode_fallback,12,0.10176340274251947,False
LIM-0109,LIM-0110,0,L3,994.1858216395826,True,False,in_line,At Grade,"LINESTRING (-77.03336 -12.09231, -77.03473 -12.08347)",,,,,101.77477194641713,projected_lima_scenario,knn_inverse_distance_rate,0.5110922892515044,mode_fallback,12,0.10236996920613202,False
LIM-0109,LIM-0137,0,TRANSFER,28.356533947636382,False,True,transfer,Transfer,"LINESTRING (-77.03336 -12.09231, -77.03362 -12.09229)",L3,L4,28.356533947636382,matching_name_and_proximity,68.63044495636365,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,2.420269172639283,False
LIM-0110,LIM-0109,0,L3,994.1858216395826,True,False,in_line,At Grade,"LINESTRING (-77.03473 -12.08347, -77.03336 -12.09231)",,,,,101.77477194641713,projected_lima_scenario,knn_inverse_distance_rate,0.5110922892515044,mode_fallback,12,0.10236996920613202,False
LIM-0110,LIM-0111,0,L3,768.3683660758263,True,False,in_line,At Grade,"LINESTRING (-77.03473 -12.08347, -77.03566 -12.07662)",,,,,92.32653294303088,projected_lima_scenario,knn_inverse_distance_rate,0.502246721288072,mode_fallback,12,0.12015920620802815,False
LIM-0111,LIM-0110,0,L3,768.3683660758263,True,False,in_line,At Grade,"LINESTRING (-77.03566 -12.07662, -77.03473 -12.08347)",,,,,92.32653294303088,projected_lima_scenario,knn_inverse_distance_rate,0.502246721288072,mode_fallback,12,0.12015920620802815,False
LIM-0111,LIM-0112,0,L3,815.308841481463,True,False,in_line,At Grade,"LINESTRING (-77.03566 -12.07662, -77.03671 -12.06936)",,,,,100.21422855812902,projected_lima_scenario,knn_inverse_distance_rate,0.5029876637438246,mode_fallback,12,0.12291566515583716,False
LIM-0112,LIM-0111,0,L3,815.308841481463,True,False,in_line,At Grade,"LINESTRING (-77.03671 -12.06936, -77.03566 -12.07662)",,,,,100.21422855812902,projected_lima_scenario,knn_inverse_distance_rate,0.5029876637438246,mode_fallback,12,0.12291566515583716,False
LIM-0112,LIM-0113,0,L3,1066.7877846308384,True,False,in_line,At Grade,"LINESTRING (-77.03671 -12.06936, -77.03784 -12.05983)",,,,,114.190657618273,projected_lima_scenario,knn_inverse_distance_rate,0.5121332295584434,mode_fallback,12,0.10704158714920854,False
LIM-0113,LIM-0112,0,L3,1066.7877846308384,True,False,in_line,At Grade,"LINESTRING (-77.03784 -12.05983, -77.03671 -12.06936)",,,,,114.190657618273,projected_lima_scenario,knn_inverse_distance_rate,0.5121332295584434,mode_fallback,12,0.10704158714920854,False
LIM-0113,LIM-0114,0,L3,987.716107905598,True,False,in_line,At Grade,"LINESTRING (-77.03784 -12.05983, -77.03873 -12.05099)",,,,,101.11281635611176,projected_lima_scenario,knn_inverse_distance_rate,0.5045631750087799,mode_fallback,12,0.10237032234952244,False
LIM-0114,LIM-0113,0,L3,987.716107905598,True,False,in_line,At Grade,"LINESTRING (-77.03873 -12.05099, -77.03784 -12.05983)",,,,,101.11281635611176,projected_lima_scenario,knn_inverse_distance_rate,0.5045631750087799,mode_fallback,12,0.10237032234952244,False
LIM-0114,LIM-0115,0,L3,528.1501964931966,True,False,in_line,At Grade,"LINESTRING (-77.03873 -12.05099, -77.03752 -12.04639)",,,,,87.73695588481598,projected_lima_scenario,knn_inverse_distance_rate,0.504508712691701,mode_fallback,12,0.1661212217043001,False
LIM-0115,LIM-0114,0,L3,528.1501964931966,True,False,in_line,At Grade,"LINESTRING (-77.03752 -12.04639, -77.03873 -12.05099)",,,,,87.73695588481598,projected_lima_scenario,knn_inverse_distance_rate,0.504508712691701,mode_fallback,12,0.1661212217043001,False
LIM-0115,LIM-0116,0,L3,1159.450954047559,True,False,in_line,At Grade,"LINESTRING (-77.03752 -12.04639, -77.04207 -12.03696)",,,,,129.56449053059197,projected_lima_scenario,knn_inverse_distance_rate,0.5055119844860643,mode_fallback,12,0.11174641762835395,False
LIM-0115,LIM-0022,0,TRANSFER,45.44190629520591,False,True,transfer,Transfer,"LINESTRING (-77.03752 -12.04639, -77.03714 -12.04656)",L3,BRT,45.44190629520591,matching_name_and_proximity,82.86825524600494,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.8236086907900577,False
LIM-0116,LIM-0115,0,L3,1159.450954047559,True,False,in_line,At Grade,"LINESTRING (-77.04207 -12.03696, -77.03752 -12.04639)",,,,,129.56449053059197,projected_lima_scenario,knn_inverse_distance_rate,0.5055119844860643,mode_fallback,12,0.11174641762835395,False
LIM-0116,LIM-0117,0,L3,1958.675552439721,True,False,in_line,At Grade,"LINESTRING (-77.04207 -12.03696, -77.05801 -12.02876)",,,,,160.02197848751956,projected_lima_scenario,knn_inverse_distance_rate,0.531368318956423,mode_fallback,12,0.08169907378901861,False
LIM-0116,LIM-0017,0,TRANSFER,188.84393680276,False,True,transfer,Transfer,"LINESTRING (-77.04207 -12.03696, -77.04367 -12.0363)",L3,BRT,188.84393680276,matching_name_and_proximity,202.36994733563333,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.0716253365709099,False
LIM-0117,LIM-0116,0,L3,1958.675552439721,True,False,in_line,At Grade,"LINESTRING (-77.05801 -12.02876, -77.04207 -12.03696)",,,,,160.02197848751956,projected_lima_scenario,knn_inverse_distance_rate,0.531368318956423,mode_fallback,12,0.08169907378901861,False
LIM-0117,LIM-0118,0,L3,1494.3421259526867,True,False,in_line,At Grade,"LINESTRING (-77.05801 -12.02876, -77.06005 -12.01547)",,,,,117.94914432225089,projected_lima_scenario,knn_inverse_distance_rate,0.5251049045905378,mode_fallback,12,0.07893048203205465,False
LIM-0118,LIM-0117,0,L3,1494.3421259526867,True,False,in_line,At Grade,"LINESTRING (-77.06005 -12.01547, -77.05801 -12.02876)",,,,,117.94914432225089,projected_lima_scenario,knn_inverse_distance_rate,0.5251049045905378,mode_fallback,12,0.07893048203205465,False
LIM-0118,LIM-0119,0,L3,847.5095247572742,True,False,in_line,At Grade,"LINESTRING (-77.06005 -12.01547, -77.06138 -12.00796)",,,,,103.3792708162757,projected_lima_scenario,knn_inverse_distance_rate,0.50070209086969,mode_fallback,12,0.12198006959967017,False
LIM-0119,LIM-0118,0,L3,847.5095247572742,True,False,in_line,At Grade,"LINESTRING (-77.06138 -12.00796, -77.06005 -12.01547)",,,,,103.3792708162757,projected_lima_scenario,knn_inverse_distance_rate,0.50070209086969,mode_fallback,12,0.12198006959967017,False
LIM-0119,LIM-0120,0,L3,2025.7679921598865,True,False,in_line,At Grade,"LINESTRING (-77.06138 -12.00796, -77.06405 -11.98993)",,,,,219.85850154720524,projected_lima_scenario,knn_inverse_distance_rate,0.515108574211054,mode_fallback,12,0.10853093858630411,False
LIM-0119,LIM-0242,0,TRANSFER,157.19615320483186,False,True,transfer,Transfer,"LINESTRING (-77.06138 -12.00796, -77.06255 -12.00879)",L3,L9,157.19615320483186,matching_name_and_proximity,175.9967943373599,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.1195998804629155,False
LIM-0120,LIM-0119,0,L3,2025.7679921598865,True,False,in_line,At Grade,"LINESTRING (-77.06405 -11.98993, -77.06138 -12.00796)",,,,,219.85850154720524,projected_lima_scenario,knn_inverse_distance_rate,0.515108574211054,mode_fallback,12,0.10853093858630411,False
LIM-0120,LIM-0121,0,L3,1430.0983006526046,True,False,in_line,At Grade,"LINESTRING (-77.06405 -11.98993, -77.06606 -11.97722)",,,,,137.1348294829172,projected_lima_scenario,knn_inverse_distance_rate,0.5079454935970981,mode_fallback,12,0.09589189038287628,False
LIM-0121,LIM-0120,0,L3,1430.0983006526046,True,False,in_line,At Grade,"LINESTRING (-77.06606 -11.97722, -77.06405 -11.98993)",,,,,137.1348294829172,projected_lima_scenario,knn_inverse_distance_rate,0.5079454935970981,mode_fallback,12,0.09589189038287628,False
LIM-0121,LIM-0122,0,L3,1693.3905298695322,True,False,in_line,At Grade,"LINESTRING (-77.06606 -11.97722, -77.06844 -11.96217)",,,,,164.79772026129297,projected_lima_scenario,knn_inverse_distance_rate,0.5193929044530233,mode_fallback,12,0.09731820117949393,False
LIM-0122,LIM-0121,0,L3,1693.3905298695322,True,False,in_line,At Grade,"LINESTRING (-77.06844 -11.96217, -77.06606 -11.97722)",,,,,164.79772026129297,projected_lima_scenario,knn_inverse_distance_rate,0.5193929044530233,mode_fallback,12,0.09731820117949393,False
LIM-0122,LIM-0123,0,L3,1891.563950707334,True,False,in_line,At Grade,"LINESTRING (-77.06844 -11.96217, -77.07104 -11.94535)",,,,,168.72793045756043,projected_lima_scenario,knn_inverse_distance_rate,0.507089147050909,mode_fallback,12,0.08920022523926092,False
LIM-0123,LIM-0122,0,L3,1891.563950707334,True,False,in_line,At Grade,"LINESTRING (-77.07104 -11.94535, -77.06844 -11.96217)",,,,,168.72793045756043,projected_lima_scenario,knn_inverse_distance_rate,0.507089147050909,mode_fallback,12,0.08920022523926092,False
LIM-0123,LIM-0124,0,L3,867.0536713906662,True,False,in_line,At Grade,"LINESTRING (-77.07104 -11.94535, -77.07171 -11.93758)",,,,,93.63423111508433,projected_lima_scenario,knn_inverse_distance_rate,0.5021746812894107,mode_fallback,12,0.10799127459422958,False
LIM-0124,LIM-0123,0,L3,867.0536713906662,True,False,in_line,At Grade,"LINESTRING (-77.07171 -11.93758, -77.07104 -11.94535)",,,,,93.63423111508433,projected_lima_scenario,knn_inverse_distance_rate,0.5021746812894107,mode_fallback,12,0.10799127459422958,False
LIM-0124,LIM-0125,0,L3,1668.3921166673929,True,False,in_line,At Grade,"LINESTRING (-77.07171 -11.93758, -77.06393 -11.92465)",,,,,131.9598100394711,projected_lima_scenario,knn_inverse_distance_rate,0.515365015299052,mode_fallback,12,0.0790940023758086,False
LIM-0125,LIM-0124,0,L3,1668.3921166673929,True,False,in_line,At Grade,"LINESTRING (-77.06393 -11.92465, -77.07171 -11.93758)",,,,,131.9598100394711,projected_lima_scenario,knn_inverse_distance_rate,0.515365015299052,mode_fallback,12,0.0790940023758086,False
LIM-0126,LIM-0127,0,L4,1083.3273502183793,True,False,in_line,At Grade,"LINESTRING (-76.93783 -12.04421, -76.93806 -12.05395)",,,,,125.72745302720628,projected_lima_scenario,knn_inverse_distance_rate,0.5038460249710239,mode_fallback,12,0.11605675145362285,False
LIM-0126,LIM-0074,0,TRANSFER,94.63314984621272,False,True,transfer,Transfer,"LINESTRING (-76.93783 -12.04421, -76.93869 -12.04408)",L4,L2,94.63314984621272,matching_name_and_proximity,123.86095820517727,projected_lima_scenario,transfer_walk_rule,0.0,rule_based_transfer,0,1.3088538044698115,False
LIM-0127,LIM-0126,0,L4,1083.3273502183793,True,False,in_line,At Grade,"LINESTRING (-76.93806 -12.05395, -76.93783 -12.04421)",,,,,125.72745302720628,projected_lima_scenario,knn_inverse_distance_rate,0.5038460249710239,mode_fallback,12,0.11605675145362285,False
LIM-0127,LIM-0128,0,L4,2009.9966615365672,True,False,in_line,At Grade,"LINESTRING (-76.93806 -12.05395, -76.94857 -12.06882)",,,,,151.2489684712002,projected_lima_scenario,knn_inverse_distance_rate,0.5224410244311684,mode_fallback,12,0.07524836800254982,False
