GTFS Stop ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night,lat,lon,geometry_wkt
LIM-0049,María Auxiliadora,L1,5,Sub,At Grade,-12.16119089872191,-76.95633441209793,0,0,0,0,-12.16119089872191,-76.95633441209793,POINT (-76.95633441209793 -12.16119089872191)
LIM-0050,San Juan,L1,6,Sub,At Grade,-12.156502690902522,-76.96568459272385,0,0,0,0,-12.156502690902522,-76.96568459272385,POINT (-76.96568459272385 -12.156502690902522)
LIM-0051,Atocongo,L1,7,Sub,At Grade,-12.150852084524784,-76.97953552007675,0,0,0,0,-12.150852084524784,-76.97953552007675,POINT (-76.97953552007675 -12.150852084524784)
LIM-0052,Jorge Chávez,L1,8,Sub,At Grade,-12.142537215398118,-76.99098855257034,0,0,0,0,-12.142537215398118,-76.99098855257034,POINT (-76.99098855257034 -12.142537215398118)
LIM-0053,Ayacucho,L1,9,Sub,At Grade,-12.134754409500156,-76.9970154762268,0,0,0,0,-12.134754409500156,-76.9970154762268,POINT (-76.9970154762268 -12.134754409500156)
LIM-0054,Cabitos,L1,10,Sub,At Grade,-12.127687277979916,-77.00062572956085,0,0,0,0,-12.127687277979916,-77.00062572956085,POINT (-77.00062572956085 -12.127687277979916)
LIM-0055,Angamos,L1,11,Sub,At Grade,-12.111084682396855,-77.0002743601799,0,0,0,0,-12.111084682396855,-77.0002743601799,POINT (-77.0002743601799 -12.111084682396855)
LIM-0056,San Borja Sur,L1,12,Sub,At Grade,-12.100968157748332,-77.00169190764427,0,0,0,0,-12.100968157748332,-77.00169190764427,POINT (-77.00169190764427 -12.100968157748332)
LIM-0057,La Cultura,L1,13,Sub,At Grade,-12.087479736764962,-77.00367875397205,0,0,0,0,-12.087479736764962,-77.00367875397205,POINT (-77.00367875397205 -12.087479736764962)
LIM-0058,Arriola,L1,14,Sub,At Grade,-12.077540672115926,-77.01064109802246,0,0,0,0,-12.077540672115926,-77.01064109802246,POINT (-77.01064109802246 -12.077540672115926)
LIM-0059,Gamarra,L1,15,Sub,At Grade,-12.06513697835038,-77.01241135597229,0,0,0,0,-12.06513697835038,-77.01241135597229,POINT (-77.01241135597229 -12.06513697835038)
LIM-0060,Grau,L1,16,Sub,At Grade,-12.05648762614546,-77.01433651149273,0,0,0,0,-12.05648762614546,-77.01433651149273,POINT (-77.01433651149273 -12.05648762614546)
LIM-0061,El Ángel,L1,17,Sub,At Grade,-12.0462158,-77.009676,0,0,0,0,-12.0462158,-77.009676,POINT (-77.009676 -12.0462158)
LIM-0062,Presbítero Maestro,L1,18,Sub,At Grade,-12.0416683,-77.0124116,0,0,0,0,-12.0416683,-77.0124116,POINT (-77.0124116 -12.0416683)
LIM-0063,Caja de Agua,L1,19,Sub,At Grade,-12.0280274,-77.0114031,0,0,0,0,-12.0280274,-77.0114031,POINT (-77.0114031 -12.0280274)
LIM-0064,Pirámides del Sol,L1,20,Sub,At Grade,-12.018153,-77.0028844,0,0,0,0,-12.018153,-77.0028844,POINT (-77.0028844 -12.018153)
LIM-0065,Los Jardines,L1,21,Sub,At Grade,-12.0065782,-77.0062425,0,0,0,0,-12.0065782,-77.0062425,POINT (-77.0062425 -12.0065782)
LIM-0066,Los Postes,L1,22,Sub,At Grade,-11.9979038,-77.0096896,0,0,0,0,-11.9979038,-77.0096896,POINT (-77.0096896 -11.9979038)
LIM-0067,San Carlos,L1,23,Sub,At Grade,-11.9851938,-77.0065139,0,0,0,0,-11.9851938,-77.0065139,POINT (-77.0065139 -11.9851938)
LIM-0068,San Martín,L1,24,Sub,At Grade,-11.9749367,-76.9999081,0,0,0,0,-11.9749367,-76.9999081,POINT (-76.9999081 -11.9749367)
LIM-0069,Santa Rosa,L1,25,Sub,At Grade,-11.9682363,-76.9934924,0,0,0,0,-11.9682363,-76.9934924,POINT (-76.9934924 -11.9682363)
LIM-0070,Bayóvar,L1,26,Sub,At Grade,-11.9598812,-76.9871422,0,0,0,0,-11.9598812,-76.9871422,POINT (-76.9871422 -11.9598812)
LIM-0071,Municipalidad de Ate,L2,1,Sub,At Grade,-12.02599,-76.91979,0,0,0,0,-12.02599,-76.91979,POINT (-76.91979 -12.02599)
LIM-0072,Javier Prado,L2,2,Sub,At Grade,-12.032,-76.92671,0,0,0,0,-12.032,-76.92671,POINT (-76.92671 -12.032)
LIM-0073,Vista Alegre,L2,3,Sub,At Grade,-12.03788,-76.9316,0,0,0,0,-12.03788,-76.9316,POINT (-76.9316 -12.03788)
LIM-0074,Mercado Santa Anita,L2,4,Sub,At Grade,-12.04408,-76.93869,0,0,0,0,-12.04408,-76.93869,POINT (-76.93869 -12.04408)
LIM-0075,Hermilio Valdizán,L2,5,Sub,At Grade,-12.0473,-76.94669,0,0,0,0,-12.0473,-76.94669,POINT (-76.94669 -12.0473)
LIM-0076,Colectora Industrial,L2,6,Sub,At Grade,-12.05117,-76.95633,0,0,0,0,-12.05117,-76.95633,POINT (-76.95633 -12.05117)
LIM-0077,Óvalo Santa Anita,L2,7,Sub,At Grade,-12.05425,-76.96402,0,0,0,0,-12.05425,-76.96402,POINT (-76.96402 -12.05425)
LIM-0078,Evitamiento,L2,8,Sub,At Grade,-12.05846,-76.97404,0,0,0,0,-12.05846,-76.97404,POINT (-76.97404 -12.05846)
LIM-0079,San Juan de Dios,L2,9,Sub,At Grade,-12.06335,-76.98357,0,0,0,0,-12.06335,-76.98357,POINT (-76.98357 -12.06335)
LIM-0080,Circunvalación,L2,10,Sub,At Grade,-12.06349,-77.00035,0,0,0,0,-12.06349,-77.00035,POINT (-77.00035 -12.06349)
LIM-0081,Nicolas Ayllón,L2,11,Sub,At Grade,-12.06028,-77.00712,0,0,0,0,-12.06028,-77.00712,POINT (-77.00712 -12.06028)
LIM-0082,28 de julio,L2,12,Sub,At Grade,-12.06101,-77.01332,0,0,0,0,-12.06101,-77.01332,POINT (-77.01332 -12.06101)
LIM-0083,Cangallo,L2,13,Sub,At Grade,-12.06207,-77.02116,0,0,0,0,-12.06207,-77.02116,POINT (-77.02116 -12.06207)
LIM-0084,Plaza Manco Capac,L2,14,Sub,At Grade,-12.06322,-77.02987,0,0,0,0,-12.06322,-77.02987,POINT (-77.02987 -12.06322)
LIM-0085,Estación Central,L2,15,Sub,At Grade,-12.06049,-77.03507,0,0,0,0,-12.06049,-77.03507,POINT (-77.03507 -12.06049)
LIM-0086,Plaza Bolognesi,L2,16,Sub,At Grade,-12.0604,-77.04144,0,0,0,0,-12.0604,-77.04144,POINT (-77.04144 -12.0604)
LIM-0087,Parque Murillo,L2,17,Sub,At Grade,-12.05709,-77.05186,0,0,0,0,-12.05709,-77.05186,POINT (-77.05186 -12.05709)
LIM-0088,Tingo María,L2,18,Sub,At Grade,-12.0555,-77.0574,0,0,0,0,-12.0555,-77.0574,POINT (-77.0574 -12.0555)
LIM-0089,La Alborada,L2,19,Sub,At Grade,-12.05751,-77.0667,0,0,0,0,-12.05751,-77.0667,POINT (-77.0667 -12.05751)
LIM-0090,Elio,L2,20,Sub,At Grade,-12.05865,-77.07323,0,0,0,0,-12.05865,-77.07323,POINT (-77.07323 -12.05865)
LIM-0091,San Marcos,L2,21,Sub,At Grade,-12.05556,-77.0815,0,0,0,0,-12.05556,-77.0815,POINT (-77.0815 -12.05556)
LIM-0092,Oscar Benavides,L2,22,Sub,At Grade,-12.05214,-77.08964,0,0,0,0,-12.05214,-77.08964,POINT (-77.08964 -12.05214)
LIM-0093,Carmen de la Legua,L2,23,Sub,At Grade,-12.0535,-77.09816,0,0,0,0,-12.0535,-77.09816,POINT (-77.09816 -12.0535)
LIM-0094,Insurgentes,L2,24,Sub,At Grade,-12.05499,-77.10587,0,0,0,0,-12.05499,-77.10587,POINT (-77.10587 -12.05499)
LIM-0095,Juan Pablo II,L2,25,Sub,At Grade,-12.0568,-77.11485,0,0,0,0,-12.0568,-77.11485,POINT (-77.11485 -12.0568)
LIM-0096,Buenos Aires,L2,26,Sub,At Grade,-12.05921,-77.12763,0,0,0,0,-12.05921,-77.12763,POINT (-77.12763 -12.05921)
LIM-0097,Puerto Callao,L2,27,Sub,At Grade,-12.05238,-77.13899,0,0,0,0,-12.05238,-77.13899,POINT (-77.13899 -12.05238)
