Station ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night
LIM-0141,Brasil,L4,16,Sub,At Grade,-12.08645,-77.06317,0,0,0,0
LIM-0142,José de Sucre,L4,17,Sub,At Grade,-12.08303,-77.06741,0,0,0,0
LIM-0143,Pando,L4,18,Sub,At Grade,-12.07832,-77.08073,0,0,0,0
LIM-0144,Rafael Escando,L4,19,Sub,At Grade,-12.07736,-77.09342,0,0,0,0
LIM-0145,Venezuela,L4,20,Sub,At Grade,-12.06252,-77.09724,0,0,0,0
LIM-0146,Carmen de la Legua,L4,21,Sub,At Grade,-12.05311,-77.09811,0,0,0,0
LIM-0147,Morales Duárez,L4,22,Sub,At Grade,-12.04027,-77.09917,0,0,0,0
LIM-0148,Quilca,L4,23,Sub,At Grade,-12.03588,-77.09939,0,0,0,0
LIM-0149,El Olivar,L4,24,Sub,At Grade,-12.02806,-77.10288,0,0,0,0
LIM-0150,Aeropuerto,L4,25,Sub,At Grade,-12.02196,-77.1061,0,0,0,0
LIM-0151,Bocanegra,L4,26,Sub,At Grade,-12.01205,-77.11092,0,0,0,0
LIM-0152,Canta Callao,L4,27,Sub,At Grade,-12.00101,-77.11678,0,0,0,0
LIM-0153,Gambetta,L4,28,Sub,At Grade,-11.99695,-77.12593,0,0,0,0
LIM-0154,Villa Panamericana,L5,1,Sub,At Grade,-12.20624,-76.95401,0,0,0,0
LIM-0155,Almacenes,L5,2,Sub,At Grade,-12.21214,-76.96376,0,0,0,0
LIM-0156,Panamericana Sur,L5,3,Sub,At Grade,-12.2059,-76.97481,0,0,0,0
LIM-0157,Santa Isabel,L5,4,Sub,At Grade,-12.19673,-76.97837,0,0,0,0
LIM-0158,San Martin,L5,5,Sub,At Grade,-12.18786,-76.98831,0,0,0,0
LIM-0159,Guardia Civil,L5,6,Sub,At Grade,-12.17853,-76.99587,0,0,0,0
LIM-0160,Los Asteroides,L5,7,Sub,At Grade,-12.16798,-76.99863,0,0,0,0
LIM-0161,Sagitario,L5,8,Sub,At Grade,-12.16017,-76.99443,0,0,0,0
LIM-0162,Las Palmas,L5,9,Sub,At Grade,-12.15074,-77.00616,0,0,0,0
LIM-0163,Rossevelt,L5,10,Sub,At Grade,-12.14709,-77.01171,0,0,0,0
LIM-0164,Balta,L5,11,Sub,At Grade,-12.14171,-77.01774,0,0,0,0
LIM-0165,Ramon Castilla,L5,12,Sub,At Grade,-12.13379,-77.01789,0,0,0,0
LIM-0166,Benavides,L5,13,Sub,At Grade,-12.12614,-77.01814,0,0,0,0
LIM-0167,Angamos,L5,14,Sub,At Grade,-12.11284,-77.01843,0,0,0,0
LIM-0168,Atarjea,L6,1,Sub,At Grade,-12.02474,-76.96643,0,0,0,0
