estacion;servicio;coordenadas
Huandoy;L3;(-11.93758, -77.07171)
EL Alamo;L3;(-11.92465, -77.06393)
Mercado Santa Anita;L4;(-12.04421, -76.93783)
Estadio Monumental;L4;(-12.05395, -76.93806)
Santa Patricia;L4;(-12.06882, -76.94857)
La Molina;L4;(-12.07153, -76.95668)
Los Frutales;L4;(-12.07555, -76.96368)
Manuel Olguin;L4;(-12.08388, -76.97338)
Monterrico;L4;(-12.08515, -76.98455)
San Luis;L4;(-12.08701, -76.99661)
La Cultura;L4;(-12.08804, -77.00355)
Pablo Carriquirry;L4;(-12.0903, -77.01916)
Javier Prado;L4;(-12.09074, -77.02269)
Conde de San Isidro;L4;(-12.09229, -77.03362)
Las Palmeras;L4;(-12.09301, -77.03866)
Guillermo Prescott;L4;(-12.09423, -77.04734)
Felipe Salaverry;L4;(-12.09462, -77.05079)
Brasil;L4;(-12.08645, -77.06317)
José de Sucre;L4;(-12.08303, -77.06741)
Pando;L4;(-12.07832, -77.08073)
Rafael Escando;L4;(-12.07736, -77.09342)
Venezuela;L4;(-12.06252, -77.09724)
Carmen de la Legua;L4;(-12.05311, -77.09811)
Morales Duárez;L4;(-12.04027, -77.09917)
Quilca;L4;(-12.03588, -77.09939)
El Olivar;L4;(-12.02806, -77.10288)
Aeropuerto;L4;(-12.02196, -77.1061)
Bocanegra;L4;(-12.01205, -77.11092)
Canta Callao;L4;(-12.00101, -77.11678)
Gambetta;L4;(-11.99695, -77.12593)
Villa Panamericana;L5;(-12.20624, -76.95401)
Almacenes;L5;(-12.21214, -76.96376)
Panamericana Sur;L5;(-12.2059, -76.97481)
Santa Isabel;L5;(-12.19673, -76.97837)
San Martin;L5;(-12.18786, -76.98831)
Guardia Civil;L5;(-12.17853, -76.99587)
Los Asteroides;L5;(-12.16798, -76.99863)
Sagitario;L5;(-12.16017, -76.99443)
Las Palmas;L5;(-12.15074, -77.00616)
Rossevelt;L5;(-12.14709, -77.01171)
Balta;L5;(-12.14171, -77.01774)
Ramon Castilla;L5;(-12.13379, -77.01789)
Benavides;L5;(-12.12614, -77.01814)
Angamos;L5;(-12.11284, -77.01843)
Atarjea;L6;(-12.02474, -76.96643)
Los Chancas;L6;(-12.03716, -76.96271)
Universidad;L6;(-12.04374, -76.96988)
Santa Anita;L6;(-12.05516, -76.96443)
Parque de los Anillos;L6;(-12.06979, -76.97252)
UPC;L6;(-12.10344, -76.96318)
Javier Prado;L6;(-12.08233, -76.97041)
Derby;L6;(-12.09657, -76.97351)
La Encalada;L6;(-12.10982, -76.97285)
Panamericana Sur;L6;(-12.11023, -76.97821)
Velasco Astete;L6;(-12.11067, -76.98456)
Caminos del Inca;L6;(-12.11125, -76.99375)
Primavera;L6;(-12.11171, -77.00051)
La Calera;L6;(-12.11241, -77.01049)
Mercado Surquillo;L6;(-12.11339, -77.0249)
Huaca Pucllana;L6;(-12.11382, -77.02974)
Comandante Espinar;L6;(-12.11408, -77.03699)
Pardo;L6;(-12.11319, -77.04849)
Cuartel San Martin;L6;(-12.10879, -77.05295)
Ejercito;L6;(-12.09797, -77.0694)
Parque Media Luna;L6;(-12.09214, -77.07989)
Lima;L6;(-12.0869, -77.08379)
Pando;L6;(-12.07779, -77.08128)
PUCP;L6;(-12.06849, -77.07777)
San Marcos;L6;(-12.05557, -77.08074)
Argentina;L6;(-12.04652, -77.07682)
Peru;L6;(-12.03186, -77.07755)
José Granda;L6;(-12.02615, -77.07542)
San German;L6;(-12.01928, -77.07632)
Tomas Valle;L6;(-12.01268, -77.07982)
Angelica Gamarra;L6;(-12.00657, -77.0825)
Santiago Antunez de Mayolo;L6;(-11.99653, -77.08469)
Los Olivos;L6;(-11.98862, -77.08099)
Los Alisos;L6;(-11.9838, -77.07219)
Canta;L6;(-11.97376, -77.0879)
Chiquitanta;L6;(-11.96148, -77.09916)
200 millas;L7;(-11.99619, -77.12607)
Carlos Izaguirre;L7;(-11.98881, -77.12549)
Manuel Mujica;L7;(-11.98215, -77.12518)
Orquendo;L7;(-11.97777, -77.12503)
California;L7;(-11.97242, -77.12506)
Los Alisos;L7;(-11.96409, -77.12679)
Las Brisas;L7;(-11.95916, -77.12841)
Oceanica;L7;(-11.95168, -77.13096)
Miramar;L7;(-11.94406, -77.13144)
Chillón;L7;(-11.93612, -77.13077)
Castillo El Palmo;L7;(-11.92314, -77.1294)
Petrolera;L7;(-11.9089, -77.12868)
Heroes del Cenepa;L7;(-11.89528, -77.12663)
Ventanilla;L7;(-11.88674, -77.12598)
Municipalidad;L7;(-11.87769, -77.12674)
Villamoto;L7;(-11.86659, -77.12835)
Mi Peru;L7;(-11.85566, -77.13)
Jose María Arguedas;L7;(-11.84765, -77.11964)
Panamericana Norte;L7;(-11.83761, -77.111)
Villa Los Reyes;L7;(-11.82911, -77.1191)
Marko Jara Shenone;L7;(-11.81464, -77.12859)
Señor de los Milagros;L7;(-11.79905, -77.14012)
Santa Rosa;L7;(-11.78524, -77.15435)
Ancón;L7;(-11.77603, -77.16374)
Miguel Grau;L8;(-12.05866, -77.03526)
Parque Universitario;L8;(-12.05469, -77.03038)
Centro de Lima;L8;(-12.04799, -77.0269)
Tacna;L8;(-12.0396, -77.0311)
Alcázar;L8;(-12.0318, -77.02794)
Santa Rosa;L8;(-12.02888, -77.0187)
Caja de Agua;L8;(-12.02847, -77.01138)
Piramide del Sol;L8;(-12.0257, -77.00181)
Las Lomas;L8;(-12.02438, -76.99144)
Fortaleza de Campoy;L8;(-12.02497, -76.98134)
Atarjea;L8;(-12.02409, -76.96697)
Alcázar;L9;(-12.03147, -77.02845)
La Florida;L9;(-12.02368, -77.03716)
UNI;L9;(-12.01593, -77.0518)
Tomas Valle;L9;(-12.00879, -77.06255)
Universitaria;L9;(-12.01265, -77.07932)
Beta;L9;(-12.01096, -77.07051)
Condor;L9;(-12.01335, -77.09502)
Aeropuerto;L9;(-12.02158, -77.10507)
Gambetta;L9;(-12.04265, -77.11604)
Argentina;L9;(-12.04982, -77.11531)
Oscar Benavides;L9;(-12.05755, -77.11471)
La Perla;L9;(-12.06464, -77.11878)
Haya de la Torre;L9;(-12.07017, -77.10947)
La Marina;L9;(-12.07426, -77.09962)
