paradero;corredor;ida;vuelta;coordenadas
Avenida B;Los Olivos;1;1;()
Santa Rosa;Los Olivos;1;1;()
Canta;Los Olivos;1;1;()


La Cincuenta;Milagros de Jesús;1;1;()
Politécnico;Milagros de Jesús;1;1;()
Cueto Fernandini;Milagros de Jesús;1;1;()
Colegio Israel;Milagros de Jesús;1;1;()
Santa Rosa;Milagros de Jesús;1;1;()
Banco de la Nación;Milagros de Jesús;1;1;()
Belaunde;Milagros de Jesús;1;1;()
Mercado Chacra Cerro;Milagros de Jesús;1;1;()
La Pascana;Milagros de Jesús;1;1;()
Cáceres;Milagros de Jesús;1;1;()
Miguel Grau;Milagros de Jesús;1;1;()
Francisco Bolognesi;Milagros de Jesús;1;1;()
Fe y Alegría;Milagros de Jesús;1;1;()
José Olaya;Milagros de Jesús;1;1;()
Sánchez Cerro;Milagros de Jesús;1;1;()
Huascarán;Milagros de Jesús;1;1;()
Julio C. Tello;Milagros de Jesús;1;1;()
Cañete;Milagros de Jesús;1;1;()
Santa Rosa;Milagros de Jesús;1;1;()
San Pedro;Milagros de Jesús;1;1;()


Huáscar;Payet;1;1;()
Calle 3;Payet;1;1;()
Río Sapi;Payet;1;1;()
Antisuyo;Payet;1;1;()
J. G. Condorcanqui;Payet;1;1;()
Posta;Payet;1;1;()
Progreso;Payet;1;1;()
Alca;Payet;1;1;()
Real Felipe;Payet;0;1;()
José Olaya;Payet;1;0;()
4 de Noviembre;Payet;0;1;()


Yanbal;Puente Piedra;1;1;()
Primera de Pro;Puente Piedra;1;0;()
Prolima;Puente Piedra;1;1;()
Acobamba;Puente Piedra;1;1;()
Shangri-la;Puente Piedra;1;1;()
Tres Ruedas;Puente Piedra;1;1;()
Establo;Puente Piedra;1;1;()
Famesa;Puente Piedra;1;1;()
Rosa Luz;Puente Piedra;1;1;()
Cementerio;Puente Piedra;1;1;()
Tottus;Puente Piedra;1;1;()
Yanbal;Puente Piedra;1;0;()

La Cincuenta;Puno;1;1;()
La Merced;Puno;1;1;()
Politécnico;Puno;1;1;()
Cueto Fernandini;Puno;1;1;()
Correo;Puno;1;1;()
España;Puno;1;1;()
Túpac Amaru;Puno;1;0;()
Edelnor;Puno;0;1;()
Lima;Puno;1;1;()
Piura;Puno;1;1;()
La Habana;Puno;1;1;()
Progreso;Puno;0;1;()
24 de Agosto;Puno;1;0;()
Vallejo;Puno;0;1;()

Huáscar;Tahuantinsuyo;1;1;()
Paracas;Tahuantinsuyo;1;1;()
Cahuide;Tahuantinsuyo;1;1;()
Pisac;Tahuantinsuyo;1;1;()
Quipaypampa;Tahuantinsuyo;1;1;()
Yauri;Tahuantinsuyo;1;1;()
Vilcanota;Tahuantinsuyo;1;1;()
Cusihuallar;Tahuantinsuyo;1;0;()
Mascaypacha;Tahuantinsuyo;1;1;()


Chimpu Ocllo;Carabayllo;1;1;()
La Flor;Carabayllo;1;1;()
Caudivilla;Carabayllo;1;1;()
Manco Cápac;Carabayllo;1;1;()
José Pardo;Carabayllo;1;1;()
Villa Esperanza;Carabayllo;1;1;()
Cedros;Carabayllo;1;0;()
Ciro Alegría;Carabayllo;0;1;()
La Cumbre;Carabayllo;1;1;()
Augusto B. Leguía;Carabayllo;1;1;()
Túpac Amaru;Carabayllo;1;0;()
Plaza El Progreso;Carabayllo;1;1;()
Lenin;Carabayllo;1;1;()
Santos Chocano;Carabayllo;1;1;()
Tokio;Carabayllo;0;1;()


Universitaria;Collique;1;1;()
Fe y Alegría;Collique;1;1;()
Sánchez Cerro;Collique;1;1;()
Julio C. Tello;Collique;1;1;()
Cerro de Pasco;Collique;1;1;()
Ramón Castilla;Collique;1;1;()
Andahuaylas;Collique;1;1;()
Piura;Collique;1;1;()
Francisco de Zela;Collique;1;1;()
Río Seco;Collique;0;1;()


Chimpu Ocllo;San Juan de Dios;1;1;()
Mercado Frontera;San Juan de Dios;1;1;()
Chany;San Juan de Dios;1;1;()
Paradero 39;San Juan de Dios;1;1;()
Paradero Q;San Juan de Dios;1;1;()
Paradero U;San Juan de Dios;1;1;()
Calle 5;San Juan de Dios;1;1;()
Salamanca;San Juan de Dios;1;1;()
Edén;San Juan de Dios;1;1;()
Rinconada;San Juan de Dios;1;1;()
Esmeralda;San Juan de Dios;1;1;()
Santa Rosa;San Juan de Dios;1;1;()
San Pedro;San Juan de Dios;1;1;()
Cooperativa;San Juan de Dios;1;1;()
El Pino;San Juan de Dios;1;1;()
San Antonio;San Juan de Dios;1;1;()
Lark;San Juan de Dios;1;1;()
Haras;San Juan de Dios;1;1;()
Condominio Real;San Juan de Dios;1;1;()
Casuarinas;San Juan de Dios;1;1;()
Maestro;San Juan de Dios;1;1;()
Polos;San Juan de Dios;0;1;()


Chimpu Ocllo;Universitaria;1;1;()
Paucartambo;Universitaria;1;1;()
Valle Chillón;Universitaria;1;1;()
Club Deportivo;Universitaria;1;1;()
Camino Real;Universitaria;1;1;()
Las Lomas;Universitaria;1;1;()
Manuel Prado;Universitaria;1;1;()
Billinghurts;Universitaria;0;1;()
Pacayal;Universitaria;1;1;()
Calle 5;Universitaria;1;1;()
Calle 1;Universitaria;1;1;()
Periurbana;Universitaria;0;1;()


Universidad;Trapiche;1;1;()
Villasol;Trapiche;1;1;()
Yanbal;Trapiche;1;1;()
Plaza Vea;Trapiche;1;1;()
El Álamo;Trapiche;1;1;()
La Amistad;Trapiche;1;0;()
Segunda de Pro;Trapiche;1;0;()
Botica;Trapiche;1;1;()
El Pinar;Trapiche;1;1;()
Kiosko;Trapiche;1;1;()
Los Incas;Trapiche;1;1;()
Alameda El Pinar;Trapiche;1;1;()
Oficina;Trapiche;1;1;()
San Felipe;Trapiche;1;1;()
Remanso;Trapiche;1;1;()
Peycar;Trapiche;1;1;()


Chimpu Ocllo;Toore Blanca;1;1;()
Machuca;Toore Blanca;1;1;()
21;Toore Blanca;1;1;()
Huascarán;Toore Blanca;1;1;()
Vega;Toore Blanca;1;1;()
San Antonio;Toore Blanca;1;1;()
Pisa;Toore Blanca;1;1;()
Mercado;Toore Blanca;1;1;()
El Carmen;Toore Blanca;1;1;()
Avenida 3;Toore Blanca;1;1;()
Torre Blanca;Toore Blanca;0;1;()

